year,topicName,count
2010,scoliosis,0
2011,scoliosis,1
2012,scoliosis,5
2013,scoliosis,16
2014,scoliosis,7
2010,osteoporosis,5
2011,osteoporosis,1
2012,osteoporosis,3
2013,osteoporosis,3
2014,osteoporosis,3
2010,bone-spurs,1
2011,bone-spurs,2
2012,bone-spurs,1
2013,bone-spurs,3
2014,bone-spurs,8
2010,fracture,5
2011,fracture,12
2012,fracture,15
2013,fracture,21
2014,fracture,35
2010,osteoarthritis,3
2011,osteoarthritis,1
2012,osteoarthritis,1
2013,osteoarthritis,9
2014,osteoarthritis,3
2010,sprain,4
2011,sprain,0
2012,sprain,7
2013,sprain,10
2014,sprain,13
2010,fibromyalgia,20
2011,fibromyalgia,10
2012,fibromyalgia,10
2013,fibromyalgia,19
2014,fibromyalgia,14
2010,carpal-tunnel-syndrome,0
2011,carpal-tunnel-syndrome,1
2012,carpal-tunnel-syndrome,2
2013,carpal-tunnel-syndrome,7
2014,carpal-tunnel-syndrome,10
2010,lupus,8
2011,lupus,1
2012,lupus,3
2013,lupus,11
2014,lupus,5
2010,rotator-cuff,0
2011,rotator-cuff,0
2012,rotator-cuff,5
2013,rotator-cuff,6
2014,rotator-cuff,8
2010,artery,1
2011,artery,1
2012,artery,8
2013,artery,8
2014,artery,21
2010,congestive-heart-failure,2
2011,congestive-heart-failure,4
2012,congestive-heart-failure,1
2013,congestive-heart-failure,6
2014,congestive-heart-failure,12
2010,arrhythmias,7
2011,arrhythmias,0
2012,arrhythmias,0
2013,arrhythmias,2
2014,arrhythmias,3
2010,heart-attack,5
2011,heart-attack,4
2012,heart-attack,8
2013,heart-attack,13
2014,heart-attack,22
2010,heart-disease,5
2011,heart-disease,2
2012,heart-disease,11
2013,heart-disease,8
2014,heart-disease,7
2010,thyroid,5
2011,thyroid,3
2012,thyroid,24
2013,thyroid,49
2014,thyroid,42
2010,hypothyroidism,2
2011,hypothyroidism,2
2012,hypothyroidism,6
2013,hypothyroidism,5
2014,hypothyroidism,17
2010,diabetes,28
2011,diabetes,14
2012,diabetes,67
2013,diabetes,93
2014,diabetes,89
2010,menopause,11
2011,menopause,6
2012,menopause,10
2013,menopause,38
2014,menopause,49
2010,type-2-diabetes,3
2011,type-2-diabetes,1
2012,type-2-diabetes,10
2013,type-2-diabetes,10
2014,type-2-diabetes,14
2010,genital-herpes,11
2011,genital-herpes,1
2012,genital-herpes,8
2013,genital-herpes,37
2014,genital-herpes,35
2010,chlamydia,4
2011,chlamydia,0
2012,chlamydia,12
2013,chlamydia,37
2014,chlamydia,33
2010,trichomoniasis,0
2011,trichomoniasis,1
2012,trichomoniasis,4
2013,trichomoniasis,10
2014,trichomoniasis,6
2010,ovarian-cancer,3
2011,ovarian-cancer,1
2012,ovarian-cancer,1
2013,ovarian-cancer,3
2014,ovarian-cancer,6
2010,infertility,5
2011,infertility,2
2012,infertility,4
2013,infertility,5
2014,infertility,11
2010,erectile-dysfunction,6
2011,erectile-dysfunction,6
2012,erectile-dysfunction,3
2013,erectile-dysfunction,12
2014,erectile-dysfunction,21
2010,prostate-cancer,13
2011,prostate-cancer,2
2012,prostate-cancer,6
2013,prostate-cancer,13
2014,prostate-cancer,14
2010,gonorrhea,0
2011,gonorrhea,1
2012,gonorrhea,4
2013,gonorrhea,10
2014,gonorrhea,3
2010,testicular-cancer,1
2011,testicular-cancer,0
2012,testicular-cancer,0
2013,testicular-cancer,5
2014,testicular-cancer,8
